iter	RMSE
0	19106.96786
1	18323.1017
2	17569.19809
3	16856.68405
4	16170.21939
5	15527.88997
6	14922.23401
7	14345.29002
8	13803.99323
9	13294.84105
10	12802.92187
11	12344.67639
12	11907.22588
13	11498.05331
14	11112.03431
15	10742.64188
16	10398.05975
17	10077.58066
18	9772.37305
19	9479.674539
20	9204.50829
21	8947.097551
22	8707.836918
23	8480.880081
24	8277.677564
25	8080.177341
26	7900.956496
27	7732.143195
28	7573.314657
29	7422.320777
30	7270.846499
31	7139.013435
32	7018.96845
33	6895.762684
34	6762.33562
35	6664.49
36	6547.745689
37	6461.870603
38	6356.836459
39	6280.792594
40	6195.460757
41	6115.113029
42	6041.307202
43	5976.31515
44	5917.19853
45	5842.583318
46	5790.286661
47	5742.423093
48	5693.836693
49	5649.100187
50	5613.883131
51	5578.010337
52	5527.887072
53	5491.514608
54	5462.157663
55	5421.824736
56	5396.861284
57	5369.804679
58	5333.576029
59	5300.69581
60	5270.733281
61	5251.880265
62	5234.94293
63	5213.775275
64	5197.881389
65	5183.58769
66	5154.478954
67	5141.507777
68	5114.819567
69	5092.242701
70	5077.360705
71	5059.906064
72	5049.111163
73	5031.27874
74	5020.814104
75	5007.977633
76	4997.879518
77	4981.938598
78	4966.001082
79	4955.892872
80	4947.770293
81	4937.769111
82	4930.519204
83	4922.302393
84	4911.805339
85	4898.994918
86	4892.436471
87	4884.367364
88	4874.473936
89	4867.627501
90	4853.545348
91	4845.589553
92	4833.979736
93	4827.434578
94	4821.896404
95	4811.424944
96	4806.464749
97	4800.065711
98	4792.485879
99	4787.41122
100	4780.693082
101	4774.564981
102	4767.614293
103	4763.630546
104	4755.35841
105	4749.647971
106	4745.075453
107	4735.790685
108	4728.822896
109	4722.278972
110	4715.578092
111	4710.17615
112	4704.658142
113	4698.944755
114	4694.069729
115	4689.734039
116	4684.029215
117	4680.408417
118	4675.825067
119	4669.6239
120	4663.924236
121	4658.909602
122	4653.100247
123	4645.365701
124	4640.848975
125	4635.205654
126	4629.56638
127	4624.002065
128	4619.74408
129	4616.015704
130	4610.525361
131	4607.711064
132	4603.780624
133	4599.160076
134	4594.130799
135	4588.561498
136	4582.217107
137	4578.925283
138	4573.100021
139	4568.777163
140	4564.822673
141	4561.690922
142	4555.463358
143	4552.501886
144	4548.989797
145	4543.215629
146	4537.934283
147	4534.9115
148	4529.153754
149	4526.304197
150	4522.276816
151	4520.580607
152	4516.992128
153	4513.779695
154	4509.857131
155	4504.527233
156	4502.287063
157	4498.703798
158	4494.388294
159	4491.984557
160	4484.893387
161	4480.279635
162	4478.335909
163	4473.170012
164	4468.689174
165	4465.363947
166	4460.401407
167	4456.99204
168	4453.276128
169	4448.578563
170	4445.674564
171	4442.528652
172	4440.595067
173	4438.187321
174	4434.977175
175	4431.01175
176	4428.124345
177	4422.645581
178	4420.20821
179	4418.036774
180	4412.446278
181	4409.186613
182	4405.158216
183	4401.607346
184	4398.937747
185	4395.952484
186	4389.985201
187	4388.004126
188	4385.525343
189	4380.841335
190	4377.552967
191	4371.929797
192	4368.261244
193	4365.099996
194	4358.745433
195	4356.462708
196	4353.538545
197	4350.145742
198	4347.557238
199	4342.909433
200	4338.652608
201	4335.304983
202	4332.404812
203	4330.931245
204	4327.630416
205	4323.245786
206	4320.408343
207	4318.083882
208	4314.798913
209	4309.886289
210	4307.629206
211	4302.775889
212	4299.815786
213	4295.803575
214	4292.680632
215	4290.157819
216	4286.144913
217	4282.895066
218	4278.946566
219	4275.37065
220	4270.352982
221	4266.863378
222	4262.916552
223	4260.239039
224	4257.303222
225	4254.454853
226	4252.350905
227	4248.57146
228	4246.080739
229	4243.321791
230	4240.539589
231	4238.49527
232	4236.17446
233	4232.801064
234	4229.440554
235	4225.411768
236	4221.554437
237	4218.872769
238	4215.944337
239	4212.848442
240	4210.407428
241	4207.162881
242	4204.937112
243	4200.325695
244	4196.936271
245	4195.1664
246	4190.3907
247	4188.490263
248	4186.211837
249	4183.534695
250	4179.725863
251	4175.370512
252	4171.733382
253	4169.717892
254	4166.895479
255	4164.182773
256	4160.753904
257	4156.741884
258	4154.399996
259	4151.498395
260	4148.246481
261	4146.372232
262	4143.954899
263	4141.524897
264	4139.52034
265	4136.633134
266	4132.752381
267	4130.083031
268	4124.912055
269	4123.027896
270	4120.817794
271	4117.863037
272	4114.716833
273	4111.124875
274	4109.288986
275	4104.694806
276	4101.496465
277	4099.853245
278	4097.661806
279	4095.445063
280	4093.373006
281	4091.811245
282	4089.047158
283	4084.984541
284	4082.581599
285	4080.40228
286	4077.391157
287	4073.569254
288	4070.117307
289	4066.469053
290	4063.039649
291	4060.700519
292	4058.029104
293	4054.796875
294	4051.263068
295	4048.693276
296	4045.179499
297	4042.395783
298	4040.060788
299	4035.987181
