iter	Passed	Remaining
0	204	61279
1	229	34171
2	254	25180
3	277	20518
4	301	17768
5	324	15900
6	339	14190
7	349	12745
8	356	11526
9	365	10591
10	371	9772
11	380	9121
12	387	8545
13	395	8074
14	402	7647
15	412	7318
16	419	6982
17	427	6700
18	434	6424
19	442	6190
20	449	5966
21	456	5773
22	463	5587
23	470	5410
24	478	5258
25	484	5110
26	492	4983
27	499	4852
28	507	4738
29	513	4625
30	522	4537
31	529	4437
32	536	4343
33	543	4254
34	550	4169
35	559	4104
36	566	4028
37	574	3961
38	581	3890
39	589	3828
40	595	3763
41	602	3703
42	610	3645
43	617	3590
44	624	3538
45	631	3485
46	638	3437
47	645	3387
48	652	3344
49	659	3296
50	666	3253
51	673	3213
52	680	3172
53	688	3135
54	695	3097
55	703	3064
56	709	3024
57	717	2993
58	724	2959
59	731	2927
60	738	2894
61	745	2860
62	752	2832
63	759	2801
64	768	2777
65	774	2746
66	783	2723
67	789	2695
68	798	2673
69	805	2647
70	814	2628
71	821	2602
72	828	2577
73	835	2551
74	842	2526
75	849	2503
76	856	2479
77	865	2462
78	872	2441
79	881	2424
80	888	2403
81	897	2386
82	904	2364
83	912	2347
84	919	2326
85	927	2308
86	934	2288
87	943	2272
88	950	2253
89	959	2239
90	967	2221
91	975	2205
92	983	2188
93	990	2171
94	998	2153
95	1006	2138
96	1013	2120
97	1021	2105
98	1028	2088
99	1035	2071
100	1044	2057
101	1050	2039
102	1059	2025
103	1066	2009
104	1075	1997
105	1082	1980
106	1089	1965
107	1096	1949
108	1103	1934
109	1110	1918
110	1117	1903
111	1124	1887
112	1131	1872
113	1139	1858
114	1147	1846
115	1158	1837
116	1164	1822
117	1173	1809
118	1180	1795
119	1189	1783
120	1195	1768
121	1205	1759
122	1212	1745
123	1219	1731
124	1226	1717
125	1234	1704
126	1241	1690
127	1247	1676
128	1255	1663
129	1261	1649
130	1269	1637
131	1276	1624
132	1283	1611
133	1290	1598
134	1297	1585
135	1304	1573
136	1311	1560
137	1319	1549
138	1326	1536
139	1334	1524
140	1341	1512
141	1351	1503
142	1357	1490
143	1365	1479
144	1372	1467
145	1379	1455
146	1386	1443
147	1393	1431
148	1400	1419
149	1407	1407
150	1414	1396
151	1421	1383
152	1429	1373
153	1435	1361
154	1442	1349
155	1449	1338
156	1456	1326
157	1463	1315
158	1470	1303
159	1478	1293
160	1484	1282
161	1493	1271
162	1499	1260
163	1512	1253
164	1520	1244
165	1530	1235
166	1537	1224
167	1545	1214
168	1552	1203
169	1560	1192
170	1566	1182
171	1574	1171
172	1580	1160
173	1588	1149
174	1596	1140
175	1603	1129
176	1610	1118
177	1616	1107
178	1624	1097
179	1630	1086
180	1638	1076
181	1644	1066
182	1652	1056
183	1659	1046
184	1666	1035
185	1673	1025
186	1680	1015
187	1687	1005
188	1693	994
189	1701	984
190	1708	974
191	1714	964
192	1722	954
193	1731	945
194	1740	937
195	1746	926
196	1754	917
197	1760	906
198	1768	897
199	1775	887
200	1783	878
201	1790	868
202	1798	859
203	1804	849
204	1811	839
205	1819	830
206	1825	820
207	1833	811
208	1840	801
209	1848	792
210	1855	782
211	1862	773
212	1869	763
213	1876	753
214	1883	744
215	1890	735
216	1898	726
217	1905	716
218	1913	707
219	1919	698
220	1928	689
221	1934	679
222	1942	670
223	1949	661
224	1956	652
225	1964	643
226	1971	633
227	1979	625
228	1985	615
229	1993	606
230	1999	597
231	2006	588
232	2013	579
233	2020	569
234	2027	560
235	2034	551
236	2042	542
237	2049	533
238	2056	524
239	2063	515
240	2070	506
241	2077	497
242	2083	488
243	2092	480
244	2098	471
245	2106	462
246	2113	453
247	2122	444
248	2128	436
249	2136	427
250	2143	418
251	2151	409
252	2158	400
253	2164	391
254	2172	383
255	2179	374
256	2187	366
257	2194	357
258	2201	348
259	2208	339
260	2216	331
261	2223	322
262	2230	313
263	2238	305
264	2244	296
265	2252	287
266	2259	279
267	2267	270
268	2274	262
269	2281	253
270	2288	244
271	2294	236
272	2302	227
273	2309	219
274	2317	210
275	2323	202
276	2331	193
277	2338	185
278	2345	176
279	2352	168
280	2359	159
281	2367	151
282	2375	142
283	2382	134
284	2389	125
285	2398	117
286	2404	108
287	2413	100
288	2420	92
289	2427	83
290	2434	75
291	2442	66
292	2449	58
293	2456	50
294	2463	41
295	2470	33
296	2478	25
297	2485	16
298	2493	8
299	2500	0
